	purchaseAgain	TypeMeal2
0	1	 Lunch
1	1	 Dinner
2	1	 Snacks
3	1	 Dinner
4	1	 Dinner
5	1	 Dinner
6	1	 Dinner
7	1	 Dinner
8	1	 Dinner
9	1	 Dinner
10	1	 Dinner
11	1	 Dinner
12	1	 Dinner
13	1	 Dinner
14	1	 Dinner
15	1	 Snacks
16	1	 Dinner
17	1	 Dinner
18	1	 Snacks
19	1	 Dinner
20	1	 Dinner
21	1	 Dinner
22	1	 Dinner
23	1	 Dinner
24	1	 Snacks
25	1	 Dinner
26	1	 Dinner
27	1	 Dinner
28	1	 Dinner
29	1	 Dinner
30	1	 Dinner
31	1	 Dinner
32	1	 Dinner
33	1	 Dinner
34	1	 Snacks
35	1	 Dinner
36	0	 Snacks
37	1	 Lunch
38	1	 Dinner
39	1	 Dinner
40	1	 Snacks
41	1	 Dinner
42	1	 Dinner
43	1	 Dinner
44	1	 Dinner
45	1	 Lunch
46	1	 Dinner
47	1	 Dinner
48	1	 Dinner
49	1	 Dinner
50	1	 Snacks
51	1	 Dinner
52	1	 Dinner
53	1	 Dinner
54	1	 Dinner
55	1	 Dinner
56	1	 Dinner
57	1	 Snacks
58	1	 Dinner
59	1	 Dinner
60	1	 Dinner
61	1	 Dinner
62	1	 Dinner
63	1	 Dinner
64	1	 Dinner
65	1	 Dinner
66	1	 Snacks
67	1	 Dinner
68	1	 Dinner
69	1	 Dinner
70	1	 Dinner
71	0	 Dinner
72	1	 Dinner
73	1	 Lunch
74	1	 Dinner
75	1	 Dinner
76	1	 Snacks
77	1	 Dinner
78	1	 Dinner
79	1	 Dinner
80	1	 Snacks
81	1	 Dinner
82	1	 Dinner
83	1	 Lunch
84	1	 Dinner
85	1	 Dinner
86	1	 Dinner
87	1	 Dinner
88	0	 Snacks
89	0	 Dinner
90	0	 Dinner
91	0	 Snacks
92	1	 Dinner
93	1	 Lunch
94	1	 Dinner
95	1	 Dinner
96	1	 Snacks
97	1	 Snacks
98	0	 Dinner
99	0	 Dinner
100	0	 Dinner
101	1	 Dinner
102	1	 Dinner
103	1	 Dinner
104	1	 Dinner
