	purchaseAgain	TypeMeal2
105	0	 Dinner
106	0	 Dinner
107	1	 Dinner
108	0	 Dinner
109	1	 Dinner
110	1	 Dinner
111	1	 Dinner
112	1	 Dinner
113	1	 Snacks
114	1	 Dinner
115	0	 Dinner
116	1	 Snacks
117	0	 Dinner
118	1	 Lunch
119	1	 Dinner
120	0	 Dinner
121	1	 Dinner
122	1	 Dinner
123	1	 Dinner
124	0	 Dinner
125	1	 Lunch
126	1	 Dinner
127	1	 Dinner
128	1	 Dinner
129	1	 Dinner
130	1	 Dinner
131	0	 Lunch
132	1	 Dinner
133	0	 Dinner
134	1	 Dinner
135	0	 Snacks
136	1	 Dinner
137	0	 Dinner
138	1	 Lunch
139	1	 Snacks
140	0	 Dinner
141	1	 Dinner
142	1	 Snacks
143	1	 Dinner
144	0	 Dinner
145	1	 Snacks
146	1	 Dinner
147	1	 Dinner
148	1	 Dinner
149	1	 Dinner
150	1	 Dinner
151	1	 Dinner
152	1	 Dinner
153	1	 Snacks
154	1	 Dinner
155	1	 Dinner
156	1	 Dinner
157	1	 Dinner
158	0	 Dinner
159	1	 Dinner
160	1	 Lunch
161	0	 Dinner
162	1	 Dinner
163	1	 Dinner
164	1	 Lunch
165	0	 Dinner
166	0	 Lunch
167	1	 Dinner
168	1	 Dinner
169	0	 Dinner
170	1	 Dinner
171	1	 Dinner
172	1	 Dinner
173	1	 Snacks
174	1	 Dinner
175	1	 Dinner
176	0	 Dinner
177	0	 Dinner
178	1	 Dinner
179	0	 Dinner
180	0	 Lunch
181	1	 Dinner
182	1	 Dinner
183	0	 Dinner
184	1	 Dinner
185	1	 Lunch
186	1	 Dinner
187	1	 Dinner
188	0	 Dinner
189	1	 Dinner
190	0	 Lunch
191	1	 Dinner
192	1	 Lunch
193	1	 Dinner
194	1	 Lunch
195	1	 Snacks
196	1	 Dinner
197	1	 Dinner
198	1	 Dinner
199	0	 Dinner
200	1	 Lunch
201	1	 Snacks
202	1	 Dinner
203	1	 Dinner
204	1	 Dinner
205	1	 Dinner
206	0	 Dinner
207	1	 Lunch
208	1	 Dinner
209	0	 Dinner
210	0	 Dinner
211	1	 Dinner
212	0	 Dinner
213	1	 Dinner
214	1	 Dinner
215	1	 Dinner
216	1	 Dinner
217	0	 Dinner
218	1	 Dinner
219	1	 Dinner
220	1	 Dinner
221	0	 Dinner
222	0	 Dinner
223	1	 Dinner
224	1	 Dinner
225	1	 Dinner
226	1	 Dinner
227	1	 Dinner
228	0	 Dinner
229	1	 Dinner
230	1	 Dinner
231	1	 Snacks
232	0	 Dinner
233	1	 Dinner
234	1	 Snacks
235	0	 Dinner
236	1	 Dinner
237	1	 Dinner
238	1	 Dinner
239	0	 Dinner
240	1	 Snacks
241	1	 Snacks
242	1	 Dinner
243	1	 Dinner
244	0	 Dinner
245	1	 Dinner
246	0	 Dinner
247	1	 Dinner
248	0	 Snacks
249	1	 Dinner
250	1	 Dinner
251	1	 Lunch
252	1	 Dinner
253	1	 Dinner
254	0	 Snacks
255	1	 Dinner
256	0	 Dinner
257	0	 Dinner
258	1	 Dinner
259	0	 Dinner
260	1	 Dinner
261	1	 Dinner
262	0	 Dinner
263	0	 Snacks
264	1	 Dinner
265	1	 Dinner
266	0	 Snacks
267	1	 Dinner
268	1	 Dinner
269	1	 Lunch
270	1	 Dinner
271	0	 Dinner
272	1	 Snacks
273	1	 Lunch
274	1	 Dinner
275	1	 Dinner
276	1	 Dinner
277	1	 Dinner
278	0	 Dinner
279	1	 Dinner
280	1	 Dinner
281	1	 Lunch
282	1	 Dinner
283	1	 Dinner
284	0	 Snacks
285	1	 Dinner
286	1	 Dinner
287	0	 Snacks
288	1	 Dinner
289	1	 Dinner
290	0	 Lunch
291	0	 Dinner
292	0	 Lunch
293	0	 Snacks
294	0	 Dinner
295	1	 Dinner
296	1	 Dinner
297	1	 Dinner
298	0	 Dinner
299	0	 Dinner
300	1	 Snacks
301	1	 Dinner
302	1	 Dinner
303	1	 Dinner
304	1	 Dinner
305	1	 Dinner
306	1	 Dinner
307	1	 Dinner
308	1	 Dinner
309	1	 Dinner
310	1	 Dinner
311	1	 Dinner
312	1	 Dinner
313	1	 Dinner
314	1	 Dinner
315	0	 Dinner
316	1	 Dinner
317	1	 Dinner
318	1	 Snacks
319	0	 Dinner
320	1	 Dinner
321	1	 Snacks
322	0	 Dinner
323	1	 Dinner
324	1	 Dinner
325	1	 Dinner
326	0	 Dinner
327	1	 Snacks
328	1	 Snacks
329	1	 Dinner
330	1	 Dinner
331	1	 Dinner
332	1	 Dinner
333	0	 Dinner
334	1	 Lunch
335	1	 Dinner
336	0	 Dinner
337	0	 Dinner
338	1	 Dinner
339	0	 Dinner
340	1	 Dinner
341	1	 Dinner
342	1	 Dinner
343	1	 Dinner
344	0	 Dinner
345	1	 Dinner
346	1	 Dinner
347	1	 Dinner
348	1	 Dinner
349	0	 Dinner
350	1	 Lunch
351	1	 Dinner
352	0	 Dinner
353	0	 Dinner
354	1	 Dinner
355	0	 Dinner
356	1	 Dinner
357	0	 Dinner
358	1	 Dinner
359	1	 Dinner
360	1	 Snacks
361	0	 Dinner
362	1	 Dinner
363	1	 Snacks
364	0	 Dinner
365	1	 Dinner
366	1	 Dinner
367	1	 Dinner
368	0	 Dinner
369	1	 Snacks
370	1	 Snacks
371	1	 Dinner
372	1	 Dinner
373	0	 Dinner
374	1	 Dinner
375	0	 Dinner
376	1	 Dinner
377	0	 Snacks
378	1	 Dinner
379	1	 Dinner
380	1	 Dinner
381	1	 Dinner
382	1	 Dinner
383	1	 Dinner
384	1	 Dinner
385	1	 Dinner
386	1	 Dinner
387	1	 Dinner
