Age,Gender,MaritalStatus,Occupation,Monthly Income,Educational Qualifications,Family size,FoodDileveryApp,FoodDirectCall,TypeMeal1,TypeMeal2,Cuisine1,Cuisine2,Ease and convenient,Time saving,RestaurantChoices,EasyPaymentOption,MoreOffersDiscount,FoodQuality,TrackingSystem,PoorHygiene,BadPastExperience,LongDeliveryTime,WrongOrderDelivered,Missing item,OrderPlacedByMistake,Order Time,Maximum wait time,Google Maps Accuracy,Influence of rating,Less Delivery time,HighQualityOfPackage,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,FoodQuantity,purchaseAgain,Reviews
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Weekend (Sat & Sun),45 minutes,Disagree,Yes,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,1,languageNaNbarrierNaNisNaNalsoNaNoneNaNmajorNaNissue.NaNmosltyNaNtheseNaNdeliveryNaNboysNaNareNaNonlyNaNfamiliarNaNwithNaNkanadaNaNwhichNaNcreatesNaNaNaNproblemNaNwhileNaNaddressingNaNanyNaNissue.
23,Male,Single,Student,No Income,Post Graduate,5,Walk-in, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Bakery items (snacks),Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Weekend (Sat & Sun),30 minutes,Agree,Maybe,Slightly Important,Unimportant,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Slightly Important,1,NaN
21,Male,Single,Student,No Income,Graduate,4,Walk-in, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Weekend (Sat & Sun),30 minutes,Neutral,Yes,Important,Important,Slightly Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,1,NaN
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Moderately Important,Important,Moderately Important,Important,Very Important,Important,Very Important,Very Important,1,NaN
24,Female,Single,Student,No Income,Post Graduate,6,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Anytime (Mon-Sun),30 minutes,Strongly Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Important,Very Important,Very Important,Very Important,Very Important,1,NaN
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Anytime (Mon-Sun),60 minutes,Neutral,No,Unimportant,Unimportant,Unimportant,Slightly Important,Very Important,Moderately Important,Important,Important,1,NaN
23,Female,Single,Student,No Income,Graduate,3,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Disagree,Agree,Disagree,Agree,Anytime (Mon-Sun),45 minutes,Agree,Yes,Important,Very Important,Slightly Important,Important,Very Important,Very Important,Very Important,Important,1,"spillage,NaNbadNaNpackagingNaNandNaNmissingNaNitemsNaN"
25,Male,Single,Student,No Income,Graduate,4,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Slightly Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,onceNaNmyNaNorderNaNfromNaNkfcNaNgotNaNexchangedNaNwithNaNsomeoneNaNelse.NaNfaultNaNwasNaNdeliveryNaNboy's.NaN
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Agree,Anytime (Mon-Sun),45 minutes,Disagree,Yes,Slightly Important,Very Important,Slightly Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,1,NaN
24,Male,Single,Student,No Income,Post Graduate,3,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Weekend (Sat & Sun),More than 60 minutes,Strongly disagree,Yes,Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,1,NaN
22,Male,Single,Student,No Income,Post Graduate,4,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Anytime (Mon-Sun),45 minutes,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Very Important,Moderately Important,Very Important,Very Important,1,NaN
22,Female,Single,Student,No Income,Graduate,4,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Weekdays (Mon-Fri),45 minutes,Strongly Agree,Yes,Very Important,Important,Slightly Important,Slightly Important,Very Important,Important,Important,Important,1,iNaNfeelNaNswiggyNaNhasNaNaNaNgoodNaNinterfaceNaNforNaNusersNaNandNaNtheNaNdeliveryNaNtimeNaNtoNaNmyNaNplaceNaNinNaNbangaloreNaNtakenNaNbyNaNswiggyNaNisNaNlessNaNthanNaNzomatoNaNwhenNaNorderedNaNfromNaNsameNaNrestaurantNaN
23,Male,Single,Student,No Income,Graduate,4,Food delivery apps, Walk-in,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Weekdays (Mon-Fri),30 minutes,Neutral,Yes,Important,Important,Important,Important,Important,Important,Important,Important,1,NaN
