Age,Gender,MaritalStatus,Occupation,Monthly Income,Educational Qualifications,Family size,FoodDileveryApp,FoodDirectCall,TypeMeal1,TypeMeal2,Cuisine1,Cuisine2,Ease and convenient,Time saving,RestaurantChoices,EasyPaymentOption,MoreOffersDiscount,FoodQuality,TrackingSystem,PoorHygiene,BadPastExperience,LongDeliveryTime,WrongOrderDelivered,Missing item,OrderPlacedByMistake,Order Time,Maximum wait time,Google Maps Accuracy,Influence of rating,Less Delivery time,HighQualityOfPackage,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,FoodQuantity,purchaseAgain,Reviews
23,Female,Single,Student,No Income,Graduate,5,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Weekdays (Mon-Fri),45 minutes,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Important,Important,Important,Important,1,NaN
26,Male,Married,Employee,25001 to 50000,Graduate,5,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Weekend (Sat & Sun),60 minutes,Agree,No,Important,Important,Moderately Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,0,iNaNexpectNaNqualityNaNfoodNaNratherNaNthanNaNdeliveryNaNtimeNaNandNaNratings
32,Female,Married,House wife,No Income,Uneducated,3,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Neutral,Agree,Anytime (Mon-Sun),30 minutes,Neutral,Yes,Important,Important,Important,Very Important,Important,Very Important,Important,Slightly Important,0,expectNaNtheNaNdeliveryNaNpersonNaNtoNaNunderstandNaNourNaNhunger
24,Female,Single,Student,10001 to 25000,Post Graduate,3,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly disagree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,0,NaN
23,Male,Single,Student,No Income,Post Graduate,2,Food delivery apps, Walk-in,Breakfast, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Strongly disagree,Weekend (Sat & Sun),45 minutes,Strongly Agree,Yes,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,1,NaN
22,Female,Single,Employee,10001 to 25000,Graduate,3,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Weekend (Sat & Sun),45 minutes,Agree,Yes,Very Important,Important,Moderately Important,Important,Very Important,Very Important,Important,Important,1,NaN
24,Female,Single,Student,No Income,Ph.D,3,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Anytime (Mon-Sun),30 minutes,Neutral,Yes,Important,Very Important,Important,Moderately Important,Important,Moderately Important,Important,Important,1,needNaNmoreNaNdeliveryNaNbandwidthNaNevenNaNinNaNruralNaNareas
26,Male,Single,Employee,25001 to 50000,Graduate,2,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Anytime (Mon-Sun),15 minutes,Agree,No,Important,Important,Moderately Important,Important,Important,Slightly Important,Important,Moderately Important,1,requiresNaNprofessionalNaNpackagingNaNwithNaNnoNaNleakage
28,Male,Married,Employee,More than 50000,Graduate,3,Food delivery apps, Web browser,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Anytime (Mon-Sun),45 minutes,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,0,NaN
26,Male,Single,Employee,More than 50000,Post Graduate,2,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Weekend (Sat & Sun),45 minutes,Agree,Yes,Important,Moderately Important,Important,Important,Important,Moderately Important,Very Important,Important,0,needNaNmoreNaNdeliveryNaNpeopleNaNtoNaNcoverNaNallNaNorders
25,Male,Single,Student,No Income,Post Graduate,1,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Weekend (Sat & Sun),30 minutes,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Important,Important,Important,Important,1,NaN
25,Male,Single,Employee,Below Rs.10000,Graduate,2,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Anytime (Mon-Sun),30 minutes,Neutral,No,Important,Very Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Important,Important,0,NaN
18,Male,Single,Student,No Income,Graduate,5,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Anytime (Mon-Sun),45 minutes,Agree,Yes,Important,Moderately Important,Important,Important,Very Important,Important,Moderately Important,Important,1,NaN
21,Male,Single,Student,No Income,Post Graduate,4,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly disagree,Anytime (Mon-Sun),30 minutes,Agree,Yes,Moderately Important,Important,Very Important,Very Important,Important,Moderately Important,Very Important,Very Important,1,NaNNaN
25,Male,Single,Student,No Income,Post Graduate,1,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Weekend (Sat & Sun),30 minutes,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Important,Important,Important,Important,1,NaN
25,Male,Single,Student,Below Rs.10000,Post Graduate,2,Walk-in, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Weekend (Sat & Sun),45 minutes,Strongly disagree,Yes,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,no
23,Female,Single,Student,No Income,Graduate,5,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Weekdays (Mon-Fri),45 minutes,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Important,Important,Important,Important,1,NaN
23,Male,Single,Employee,10001 to 25000,Post Graduate,2,Food delivery apps, Direct call,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Anytime (Mon-Sun),30 minutes,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,Very Important,Slightly Important,1,wantNaNdifferentNaNcuisineNaNdishesNaNoptionsNaNinNaNmyNaNlocation
25,Female,Married,Employee,25001 to 50000,Graduate,4,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Anytime (Mon-Sun),15 minutes,Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Important,Important,Moderately Important,Important,0,iNaNhadNaNbadNaNexperienceNaNwithNaNdeliveryNaNperson.NaNtheyNaNneedNaNtoNaNbeNaNpolite
31,Female,Married,House wife,No Income,School,5,Food delivery apps, Web browser,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Anytime (Mon-Sun),45 minutes,Neutral,Yes,Important,Very Important,Very Important,Very Important,Slightly Important,Moderately Important,Important,Very Important,1,i'mNaNhappyNaNwithNaNtheNaNserviceNaNofNaNonlineNaNdeliveryNaNstartups
24,Male,Prefer not to say,Self Employeed,More than 50000,Ph.D,2,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Anytime (Mon-Sun),15 minutes,Strongly disagree,Yes,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Moderately Important,Slightly Important,0,iNaNneedNaNtheNaNorderNaNtoNaNbeNaNdeliveredNaNfastNaNtoNaNmyNaNlocation
32,Female,Married,Employee,25001 to 50000,Graduate,5,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Anytime (Mon-Sun),60 minutes,Agree,Yes,Important,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Very Important,1,i'mNaNsatisfiedNaNwithNaNtheNaNserviceNaNofNaNswiggy
25,Male,Single,Employee,25001 to 50000,Graduate,3,Food delivery apps, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Very Important,Very Important,Important,Moderately Important,Slightly Important,Moderately Important,Important,Very Important,1,"i'mNaNsatisfiedNaNwithNaNzomato,NaNi'mNaNalsoNaNaNaNpremiumNaNmember"
27,Female,Married,Self Employeed,More than 50000,Graduate,5,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Disagree,Strongly disagree,Anytime (Mon-Sun),30 minutes,Strongly Agree,Yes,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important,0,"freshnessNaNisNaNimportantNaNbutNaNwhenNaNitNaNisNaNpackedNaNbyNaNtheNaNusualNaNpackage,NaNiNaNfeelNaNit'sNaNlosingNaNitNaNisNaNfreshnessNaNandNaNquality"
26,Male,Single,Self Employeed,25001 to 50000,Graduate,3,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Weekdays (Mon-Fri),More than 60 minutes,Agree,No,Important,Important,Slightly Important,Slightly Important,Important,Important,Important,Important,1,iNaNhaveNaNnoNaNproblemNaNwithNaNtheNaNdeliveryNaNservice.NaNi'mNaNsatisfied
26,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Anytime (Mon-Sun),30 minutes,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,1,iNaNloveNaNorderingNaNfromNaNonlineNaNasNaNtheyNaNhaveNaNmoreNaNvarietiesNaNandNaNdiscounts
32,Male,Married,Employee,More than 50000,Ph.D,5,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Very Important,Important,Moderately Important,Important,Important,Moderately Important,Very Important,Very Important,1,onlineNaNdeliveryNaNrequiresNaNmuchNaNhygieneNaNconsciousnessNaNnowNaNthanNaNeverNaNbeforeNaNNaNNaN
24,Male,Married,Self Employeed,More than 50000,Ph.D,6,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Anytime (Mon-Sun),30 minutes,Agree,Yes,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,0,"iNaNhadNaNbadNaNexperiencesNaNwithNaNdeliveryNaNperson,NaNtheyNaNneedNaNtoNaNbeNaNpoliteNaNwhenNaNaskingNaNforNaNlocationNaNandNaNavoidNaNaskingNaNusNaNtoNaNcomeNaNtoNaNaNaNparticularNaNlocationNaNtoNaNgetNaNtheNaNfood"
27,Female,Married,Self Employeed,25001 to 50000,Graduate,3,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Anytime (Mon-Sun),30 minutes,Strongly Agree,Yes,Important,Very Important,Very Important,Very Important,Slightly Important,Moderately Important,Important,Very Important,1,i'mNaNsatisfiedNaNwithNaNtheNaNdeliveryNaNservice
23,Male,Single,Student,No Income,Post Graduate,3,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Weekend (Sat & Sun),30 minutes,Agree,No,Important,Important,Moderately Important,Very Important,Very Important,Important,Important,Important,1,NaN
25,Male,Single,Student,No Income,Post Graduate,4,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Anytime (Mon-Sun),30 minutes,Agree,Yes,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,1,NaN
23,Male,Single,Student,No Income,Post Graduate,3,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Weekend (Sat & Sun),30 minutes,Agree,No,Important,Important,Moderately Important,Very Important,Very Important,Important,Important,Important,1,NaN
23,Female,Single,Student,No Income,Post Graduate,4,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Weekend (Sat & Sun),45 minutes,Neutral,Yes,Important,Important,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,1,NaN
28,Male,Married,Employee,More than 50000,Post Graduate,3,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Anytime (Mon-Sun),60 minutes,Strongly Agree,No,Important,Important,Slightly Important,Important,Important,Very Important,Important,Very Important,1,i'mNaNsatisfiedNaNwithNaNtheNaNcurrentNaNserviceNaNofNaNswiggyNaNandNaNzomato
32,Female,Married,Employee,More than 50000,Graduate,1,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Anytime (Mon-Sun),30 minutes,Strongly Agree,Yes,Very Important,Important,Important,Very Important,Important,Moderately Important,Very Important,Very Important,0,iNaNrequireNaNfasterNaNdeliveryNaNwithNaNminimumNaNcalls
23,Male,Single,Student,No Income,Post Graduate,2,Food delivery apps, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Anytime (Mon-Sun),30 minutes,Agree,Yes,Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,1,NaN
19,Male,Single,Student,No Income,Graduate,2,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Anytime (Mon-Sun),15 minutes,Strongly Agree,No,Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,0,iNaNhadNaNbadNaNexperiencesNaNwithNaNtheNaNfoodNaNdeliveredNaNtoNaNmeNaN
19,Female,Single,Student,No Income,Graduate,4,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Anytime (Mon-Sun),45 minutes,Agree,Yes,Important,Important,Slightly Important,Slightly Important,Very Important,Important,Important,Important,1,NaN
27,Female,Married,Employee,25001 to 50000,Post Graduate,2,Food delivery apps, Walk-in,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Anytime (Mon-Sun),30 minutes,Disagree,Yes,Important,Very Important,Slightly Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,0,NaNNaN
25,Male,Single,Self Employeed,25001 to 50000,Graduate,3,Food delivery apps, Web browser,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Anytime (Mon-Sun),30 minutes,Neutral,Yes,Important,Very Important,Important,Very Important,Important,Important,Important,Important,1,iNaNloveNaNswiggyNaN!!
33,Male,Married,Employee,More than 50000,Ph.D,5,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Anytime (Mon-Sun),30 minutes,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,Very Important,0,iNaNonceNaNhadNaNdamagedNaNpackageNaNfromNaNzomatoNaNandNaNtheyNaNdeclinedNaNtoNaNofferNaNmeNaNrefund.worstNaNbehaviorNaN!
26,Female,Single,Employee,More than 50000,Graduate,3,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Anytime (Mon-Sun),45 minutes,Strongly Agree,No,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,1,i'mNaNsatisfiedNaNwithNaNswiggyNaNandNaNtheirNaNwonderfulNaNoffers
22,Female,Single,Student,Below Rs.10000,Post Graduate,4,Food delivery apps, Direct call,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Sweets,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Weekend (Sat & Sun),45 minutes,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Very Important,Important,Important,Important,1,NaN
23,Male,Single,Student,No Income,Post Graduate,3,Food delivery apps, Walk-in,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Anytime (Mon-Sun),30 minutes,Strongly Agree,Yes,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,0,NaN
22,Female,Single,Student,No Income,Graduate,3,Food delivery apps, Walk-in,Snacks, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Anytime (Mon-Sun),45 minutes,Agree,Yes,Important,Important,Slightly Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,1,"pricesNaNofNaNfoodNaNitemsNaNdifferNaNwhileNaNusingNaNdifferentNaNsmartphonesNaNtoNaNorderNaNatNaNtheNaNsameNaNtime.NaNso,NaNthereNaNisNaNnoNaNuniformNaNpricingNaNsystemNaNinNaNfoodNaNdeliveryNaNapps.NaNbutNaNyes,NaNtheyNaNaddNaNaNaNlotNaNofNaNconvenienceNaNinNaNourNaNlives!"
25,Male,Married,Employee,25001 to 50000,Graduate,2,Food delivery apps, Web browser,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Maybe,Important,Important,Very Important,Very Important,Moderately Important,Moderately Important,Important,Moderately Important,1,i'mNaNokayNaNorderingNaNonlineNaNforNaNfood
30,Female,Married,House wife,No Income,School,5,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Weekdays (Mon-Fri),30 minutes,Agree,No,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,1,iNaNloveNaNorderingNaNcandiesNaNforNaNmyNaNchildrenNaNfromNaNswiggy
24,Male,Single,Student,No Income,Post Graduate,3,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Anytime (Mon-Sun),15 minutes,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,0,iNaNhateNaNzomatoNaNandNaNfoodNaNpanda.NaNpoorNaNtrackingNaNandNaNpoorNaNcustomerNaNservice
25,Male,Single,Employee,10001 to 25000,Post Graduate,3,Food delivery apps, Web browser,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Strongly Agree,No,Important,Important,Very Important,Very Important,Slightly Important,Moderately Important,Moderately Important,Slightly Important,1,bestNaNserviceNaNisNaNprovidedNaNbyNaNswiggy
23,Male,Single,Student,More than 50000,Post Graduate,3,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,NaNNaN
24,Female,Single,Student,No Income,Post Graduate,4,Food delivery apps, Direct call,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Neutral,Disagree,Anytime (Mon-Sun),30 minutes,Neutral,No,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,1,NaN
32,Male,Married,Employee,10001 to 25000,Graduate,4,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Weekend (Sat & Sun),30 minutes,Neutral,Yes,Moderately Important,Important,Important,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Important,1,NaN
22,Male,Single,Student,No Income,Post Graduate,4,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Anytime (Mon-Sun),30 minutes,Neutral,Yes,Slightly Important,Moderately Important,Important,Slightly Important,Moderately Important,Important,Very Important,Important,1,NaN
