Age,Gender,MaritalStatus,Occupation,Monthly Income,Educational Qualifications,Family size,TypeMeal1,Cuisine1,Ease and convenient,Time saving,RestaurantChoices,EasyPaymentOption,MoreOffersDiscount,FoodQuality,TrackingSystem,PoorHygiene,BadPastExperience,LongDeliveryTime,WrongOrderDelivered,Missing item,OrderPlacedByMistake,Google Maps Accuracy,Influence of rating,Less Delivery time,HighQualityOfPackage,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,FoodQuantity,purchaseAgain
25,2,2,2,5,2,4,4,1,1,2,2,2,1,3,2,5,3,4,4,5,4,5,1,5,5,5,5,3,3,4,3,0
31,2,2,4,1,5,5,1,1,4,3,4,5,4,5,4,1,1,4,4,3,4,3,1,3,5,5,5,2,4,3,5,1
24,1,3,3,3,3,2,3,1,1,1,1,2,1,2,1,5,5,4,5,5,4,2,1,5,5,5,5,3,4,4,2,0
32,2,2,2,5,2,5,1,1,5,4,5,5,4,4,5,3,1,1,1,1,1,4,1,3,4,3,4,4,4,5,5,1
25,1,1,2,5,2,3,1,1,4,5,4,5,3,4,5,1,3,1,1,1,2,5,1,5,5,3,4,2,4,3,5,1
27,2,2,3,3,2,5,3,1,1,1,4,4,1,4,3,5,3,4,1,1,2,5,1,5,3,5,5,3,3,3,3,0
26,1,1,3,5,2,3,3,1,4,4,4,5,5,5,5,2,2,4,1,1,1,4,3,3,3,2,2,3,3,3,3,1
26,2,1,3,5,1,3,3,1,4,5,4,4,4,5,5,1,1,1,2,3,1,4,1,5,5,5,5,3,3,3,3,1
32,1,2,2,3,3,5,3,1,4,4,5,4,5,4,3,5,1,1,1,2,1,5,1,5,3,4,3,3,4,5,5,1
24,1,2,3,3,3,6,4,2,1,1,1,1,2,1,2,5,4,4,5,4,5,4,1,3,5,5,5,5,5,5,5,0
27,2,2,3,5,2,3,1,1,4,5,5,5,4,5,5,1,1,4,3,2,2,5,1,3,5,5,5,2,4,3,5,1
23,1,1,1,1,1,3,4,1,4,4,4,4,3,3,4,3,3,3,4,5,3,4,3,3,3,4,5,5,3,3,3,1
25,1,1,1,1,1,4,3,1,5,5,5,5,5,5,5,1,1,4,4,4,5,4,1,5,5,3,5,5,3,5,5,1
23,1,1,1,1,1,3,4,1,4,4,4,4,3,3,4,3,3,3,4,5,3,4,3,3,3,4,5,5,3,3,3,1
23,2,1,1,1,1,4,4,1,5,5,5,3,3,5,5,5,4,4,5,4,3,3,1,3,3,4,4,5,5,5,5,1
28,1,2,2,3,1,3,2,1,4,5,4,5,5,4,5,1,2,1,1,1,1,5,3,3,3,2,3,3,5,3,5,1
32,2,2,2,3,2,1,1,1,4,3,4,5,5,5,5,4,5,1,1,4,1,5,1,5,3,3,5,3,4,5,5,0
23,1,1,1,1,1,2,1,1,4,5,4,5,5,5,4,4,1,4,1,5,1,4,1,3,5,5,5,3,3,3,3,1
19,1,1,1,1,2,2,2,1,4,1,4,3,1,1,4,1,4,4,4,5,5,5,3,3,5,5,3,3,5,3,3,0
19,2,1,1,1,2,4,4,1,5,5,5,5,5,3,4,3,4,5,1,1,1,4,1,3,3,2,2,5,3,3,3,1
27,2,2,2,5,1,2,3,2,4,3,1,3,3,3,3,3,4,5,5,5,4,1,1,3,5,2,4,5,5,5,5,0
25,1,1,3,5,2,3,4,1,4,5,4,5,4,5,4,2,1,4,1,1,1,3,1,3,5,3,5,3,3,3,3,1
33,1,2,2,3,3,5,2,1,4,1,1,1,1,2,1,5,5,4,5,5,2,3,1,5,5,5,5,5,4,3,5,0
26,2,1,2,3,2,3,1,1,4,5,4,5,5,4,5,1,3,4,4,3,4,5,3,2,2,2,2,2,2,2,2,1
22,2,1,1,2,1,4,3,1,5,3,4,4,4,3,4,4,4,5,4,4,4,3,1,3,4,3,4,5,3,3,3,1
23,1,1,1,1,1,3,3,2,4,4,4,4,4,4,4,4,4,5,1,5,3,5,1,3,3,3,3,5,5,5,5,0
22,2,1,1,1,2,3,2,2,5,5,5,5,5,4,5,3,1,4,4,4,5,4,1,3,3,2,2,5,5,5,5,1
25,1,2,2,5,2,2,1,1,1,1,1,1,3,1,4,5,4,4,5,5,5,5,2,3,3,5,5,4,4,3,4,1
30,2,2,4,1,5,5,2,1,4,5,5,5,5,5,5,1,1,4,1,2,1,4,3,3,5,5,5,3,5,5,5,1
24,1,1,1,1,1,3,2,1,1,1,5,2,1,1,4,5,5,1,5,5,3,5,1,3,5,3,5,5,3,5,5,0
25,1,1,2,4,1,3,1,1,4,5,4,5,5,4,5,1,1,4,1,1,2,5,3,3,3,5,5,2,4,4,2,1
23,1,1,1,3,1,3,2,1,5,5,4,5,5,4,5,3,3,3,5,5,4,5,1,5,5,5,5,5,5,5,5,1
24,2,1,1,1,1,4,3,2,4,4,4,4,3,4,3,5,4,4,1,3,1,3,3,5,5,5,3,5,5,5,5,1
32,1,2,2,4,2,4,2,1,4,4,3,3,4,1,3,3,3,4,1,1,1,3,1,4,3,3,4,4,2,4,3,1
22,1,1,1,1,1,4,4,1,3,3,3,3,4,1,4,1,3,4,3,1,4,3,1,2,4,3,2,4,3,5,3,1
23,1,1,1,3,1,3,2,1,5,5,4,5,5,4,5,3,3,3,5,5,4,5,1,5,5,5,5,5,5,5,5,1
23,2,1,1,1,1,4,4,1,5,5,5,3,3,5,5,5,4,4,5,4,3,3,1,3,3,4,4,5,5,5,5,1
20,1,1,1,1,2,2,1,1,4,5,4,5,5,5,5,1,1,4,1,1,2,5,1,3,5,3,5,3,3,3,3,1
21,1,1,1,1,2,2,1,1,4,5,5,4,5,5,5,2,1,4,5,4,5,5,1,3,5,3,5,4,2,4,3,1
24,2,2,3,4,2,5,3,1,4,1,4,3,1,4,4,4,5,4,4,2,2,5,1,3,3,5,3,3,4,4,3,1
23,2,1,1,1,1,4,4,1,5,5,5,3,3,5,5,5,4,4,5,4,3,3,1,3,3,4,4,5,5,5,5,1
25,1,1,2,5,1,3,2,1,4,5,4,5,5,1,1,1,1,4,1,1,1,5,1,3,3,5,3,3,3,5,2,1
32,2,2,4,1,2,3,2,1,4,5,5,5,4,3,3,4,1,5,4,5,2,5,1,3,5,3,5,4,2,3,3,1
27,1,2,2,3,3,5,4,1,4,1,3,1,3,1,2,5,4,4,4,5,2,5,1,3,5,3,5,5,5,5,5,0
20,2,1,1,1,2,2,4,1,5,4,5,4,5,5,5,1,1,3,1,1,1,4,1,3,5,3,4,3,3,4,3,1
21,1,1,1,1,2,2,1,1,4,5,5,4,5,5,5,2,2,1,4,4,2,5,1,3,5,5,5,3,3,3,3,1
26,1,1,2,3,1,3,4,1,1,2,1,2,1,2,1,5,5,1,4,3,1,5,1,3,5,3,5,3,3,3,3,0
25,1,1,2,4,2,4,3,1,5,4,5,5,5,4,5,1,3,1,1,1,4,4,1,5,5,1,5,5,3,5,5,1
26,1,1,2,5,1,3,4,1,4,5,4,5,5,5,4,1,2,1,3,1,1,5,3,3,3,4,3,4,4,4,4,1
26,2,2,2,5,2,3,1,1,4,5,4,5,4,4,4,1,1,4,4,1,2,5,1,3,3,3,3,3,5,3,3,1
27,1,1,2,3,3,4,3,1,4,4,4,4,4,4,4,4,3,4,2,2,2,5,2,3,5,3,5,3,3,3,5,0
27,2,1,1,1,3,5,1,1,1,1,2,1,2,1,1,4,4,4,1,1,2,5,1,3,3,3,3,2,4,3,3,0
24,2,1,1,1,1,5,1,2,4,5,4,3,1,4,5,5,5,1,1,4,5,3,1,5,5,5,5,5,5,5,5,1
25,1,2,3,3,5,2,2,1,4,5,5,4,5,4,5,1,1,3,3,1,1,3,1,3,5,3,5,2,2,2,2,1
20,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,3,4,1,1,2,2,5,1,3,5,3,3,4,3,3,3,0
22,1,1,1,1,1,1,4,1,4,5,4,5,4,5,5,1,1,4,4,4,4,5,2,2,2,4,2,1,2,1,2,1
26,2,2,1,2,3,3,2,1,4,4,4,4,3,3,4,1,1,4,2,2,2,5,1,3,5,3,3,4,3,4,3,1
27,1,3,2,5,1,1,1,1,4,4,4,4,4,4,4,1,1,4,1,1,1,5,1,3,5,3,3,3,5,3,3,1
25,2,1,1,1,1,3,1,1,4,4,5,4,5,4,5,1,1,4,3,4,4,1,2,3,4,4,3,4,4,4,4,1
24,1,1,2,2,2,2,2,1,4,5,4,5,5,5,5,1,2,3,2,2,2,5,1,3,5,3,3,3,3,3,3,1
23,2,1,2,4,2,6,2,1,4,5,4,4,4,5,4,1,1,4,2,1,1,1,1,3,5,3,4,3,3,5,3,1
22,1,1,1,1,2,2,4,1,1,2,1,2,1,1,1,4,4,1,4,4,4,5,1,3,3,3,3,3,5,5,3,0
26,1,2,3,3,1,3,2,1,2,2,1,2,1,2,2,4,1,4,4,5,5,4,3,3,2,2,2,2,4,3,5,0
26,1,1,2,2,1,1,4,1,4,5,4,4,4,4,3,2,3,4,4,4,4,4,1,3,5,3,5,2,4,4,3,1
25,2,2,3,5,1,3,2,1,1,3,4,4,1,4,4,4,4,1,1,1,1,4,1,3,3,5,3,4,3,3,4,0
29,2,2,2,3,2,3,1,1,3,1,3,3,1,1,3,3,4,3,2,4,4,5,1,3,4,4,4,2,4,3,4,0
23,1,1,1,2,2,3,4,2,4,2,3,1,4,1,3,4,4,4,4,4,4,4,2,3,4,3,4,5,5,3,3,1
22,2,1,2,5,2,4,3,1,4,4,3,1,4,1,3,4,3,4,5,5,5,4,1,2,5,1,3,5,3,5,4,1
22,1,1,1,1,2,2,1,1,1,3,1,1,3,3,1,4,4,1,1,3,2,3,1,3,5,5,3,3,5,3,3,0
32,2,2,4,1,5,5,2,1,4,4,4,5,5,4,4,1,1,3,1,1,1,1,1,3,4,4,5,3,4,4,3,1
28,1,2,2,3,1,1,1,1,4,5,4,5,4,4,5,3,1,3,1,1,2,5,1,5,5,4,3,3,2,3,2,1
