Age,Gender,MaritalStatus,Occupation,Monthly Income,Educational Qualifications,Family size,TypeMeal1,Cuisine1,Ease and convenient,Time saving,RestaurantChoices,EasyPaymentOption,MoreOffersDiscount,FoodQuality,TrackingSystem,PoorHygiene,BadPastExperience,LongDeliveryTime,WrongOrderDelivered,Missing item,OrderPlacedByMistake,Google Maps Accuracy,Influence of rating,Less Delivery time,HighQualityOfPackage,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,FoodQuantity,purchaseAgain
22,1,1,1,1,1,2,3,1,4,4,4,4,4,4,4,5,4,4,4,5,1,4,1,3,5,4,3,3,3,5,5,1
25,1,1,2,4,2,2,3,1,4,5,4,4,3,1,4,5,4,4,2,1,1,5,1,3,3,5,3,3,3,5,3,1
26,2,2,2,5,1,2,4,2,1,1,1,1,3,3,1,5,4,4,1,4,1,4,3,2,4,4,3,3,4,4,3,0
31,1,2,3,3,5,6,2,1,1,1,4,4,4,5,4,4,4,4,2,1,1,4,1,3,3,3,3,3,3,3,3,1
24,1,1,1,1,1,3,1,1,4,5,4,4,4,4,4,1,2,4,2,1,1,1,3,3,3,5,3,3,4,3,3,0
24,1,1,2,5,1,2,2,2,4,5,4,5,4,5,4,3,1,1,3,4,3,1,1,3,3,3,3,4,3,3,3,1
31,2,2,2,3,3,5,1,1,4,5,4,4,5,4,4,3,3,3,1,1,2,3,3,4,4,2,2,3,3,4,4,1
26,1,1,2,5,2,2,3,2,1,1,3,1,2,1,3,4,4,4,2,1,4,4,2,3,4,3,3,2,4,3,3,1
24,2,2,3,3,2,2,1,1,4,4,3,4,4,4,4,2,2,4,1,1,1,4,1,4,3,4,3,5,5,5,5,1
22,2,1,1,1,2,3,1,1,4,4,3,4,4,4,4,2,2,4,1,1,1,5,1,3,3,3,3,3,5,3,3,1
19,1,1,1,1,2,6,2,1,4,5,4,5,5,5,5,3,1,4,2,1,1,4,1,3,3,5,3,3,3,3,3,1
