	purchaseAgain	TypeMeal1
348	1	Lunch
349	0	Dinner
350	1	Breakfast
351	1	Snacks
352	0	Lunch
353	0	Snacks
354	1	Snacks
355	0	Dinner
356	1	Lunch
357	0	Dinner
358	1	Snacks
359	1	Snacks
360	1	Lunch
361	0	Dinner
362	1	Snacks
363	1	Lunch
364	0	Dinner
365	1	Snacks
366	1	Snacks
367	1	Snacks
368	0	Snacks
369	1	Lunch
370	1	Breakfast
371	1	Snacks
372	1	Dinner
373	0	Snacks
374	1	Snacks
375	0	Dinner
376	1	Dinner
377	0	Lunch
378	1	Dinner
379	1	Lunch
380	1	Lunch
381	1	Lunch
382	1	Dinner
383	1	Dinner
384	1	Lunch
385	1	Snacks
386	1	Lunch
387	1	Snacks
